CA	Piston position	D	E	F	G	H	I	J
227.50	78.601							
227.60	78.552							
227.70	78.504							
227.80	78.455							
227.90	78.406							
228.00	78.357							
228.10	78.308							
228.20	78.259							
228.30	78.210							
228.40	78.161							
228.50	78.111							
228.60	78.062							
228.70	78.012							
228.80	77.963							
228.90	77.913							
229.00	77.863							
229.10	77.813							
229.20	77.763							
229.30	77.713							
229.40	77.663							
229.50	77.613							
229.60	77.562							
229.70	77.512							
229.80	77.461							
229.90	77.410							
230.00	77.360							
230.10	77.309							
230.20	77.258							
230.30	77.207							
230.40	77.156							
230.50	77.104							
230.60	77.053							
230.70	77.002							
230.80	76.950							
230.90	76.899							
231.00	76.847							
231.10	76.795							
231.20	76.743							
231.30	76.691							
231.40	76.639							
231.50	76.587							
231.60	76.535							
231.70	76.482							
231.80	76.430							
231.90	76.377							
232.00	76.325							
232.10	76.272							
232.20	76.219							
232.30	76.166							
232.40	76.113							
232.50	76.060							
232.60	76.007							
232.70	75.954							
232.80	75.901							
232.90	75.847							
233.00	75.794							
233.10	75.740							
233.20	75.686							
233.30	75.632							
233.40	75.579							
233.50	75.525							
233.60	75.470							
233.70	75.416							
233.80	75.362							
233.90	75.308							
234.00	75.253							
234.10	75.199							
234.20	75.144							
234.30	75.089							
234.40	75.035							
234.50	74.980							
234.60	74.925							
234.70	74.870							
234.80	74.814							
234.90	74.759							
235.00	74.704							
235.10	74.648							
235.20	74.593							
235.30	74.537							
235.40	74.482							
235.50	74.426							
235.60	74.370							
235.70	74.314							
235.80	74.258							
235.90	74.202							
236.00	74.145							
236.10	74.089							
236.20	74.033							
236.30	73.976							
236.40	73.920							
236.50	73.863							
236.60	73.806							
236.70	73.749							
236.80	73.692							
236.90	73.635							
237.00	73.578							
237.10	73.521							
237.20	73.464							
237.30	73.406							
237.40	73.349							
237.50	73.291							
237.60	73.234							
237.70	73.176							
237.80	73.118							
237.90	73.060							
238.00	73.002							
238.10	72.944							
238.20	72.886							
238.30	72.828							
238.40	72.769							
238.50	72.711							
238.60	72.652							
238.70	72.594							
238.80	72.535							
238.90	72.476							
239.00	72.417							
239.10	72.358							
239.20	72.299							
239.30	72.240							
239.40	72.181							
239.50	72.122							
239.60	72.062							
239.70	72.003							
239.80	71.943							
239.90	71.884							
240.00	71.824							
240.10	71.764							
240.20	71.704							
240.30	71.644							
240.40	71.584							
240.50	71.524							
240.60	71.464							
240.70	71.403							
240.80	71.343							
240.90	71.283							
241.00	71.222							
241.10	71.161							
241.20	71.101							
